etat,nameclient,porteur,zoneclient,nature,leadrating,coord,titgrp,datedet,budget,botech
Perdus,-9,130392,101185,villa,1,130392,133119,2020-03-18,\N,\N
Perdus,90836,28609,89683,universite publique,1,28577,115745,2020-03-03,0,\N
BC,161061,130410,89694,villa,5,130410,130419,2020-09-09,1904,\N
BC,-9,130411,101185,villa,1,130411,136907,2020-08-29,5300,\N
BC,-9,28576,89688,villa,3,28576,115744,2020-01-30,25206,108904
BC,-9,150300,101185,MACHINERIE,1,-9,150305,2021-02-24,59315,\N
BC,-9,130392,101185,villa,1,130392,133119,2021-02-10,1771,\N
Perdus,-9,28609,89679,Prison,1,28609,115746,2020-08-05,37750,\N
Perdus,-9,28609,89679,Prison,1,28577,115746,2020-08-05,37750,\N
Perdus,-9,130407,101185,villa,1,130407,130419,2020-08-07,\N,\N
Perdus,-9,108904,89691,siege administratif,1,162366,134666,2020-03-04,10926,162366
Perdus,144570,108904,89674,salle de sport,1,108904,115744,2020-07-02,\N,\N
Perdus,-9,28579,89687,habitation,1,130412,133080,2020-03-06,64000,130416
Perdus,137597,130590,89694,villa,1,130590,130419,2020-03-11,\N,\N
BC,140749,130410,89694,villa,5,130410,130418,2020-05-26,\N,\N
Perdus,-9,28575,101185,villa,1,122018,115744,2018-03-06,\N,\N
BC,176048,130590,89694,villa,1,-9,130419,2020-11-11,8467,130590
Perdus,-9,28579,89694,villa,1,122027,115744,2020-09-14,66000,153451
BC,-9,150300,89688,MACHINERIE,1,150300,150305,2020-06-24,394288,\N
BC,127818,28614,89694,habitation,1,130412,133081,2019-02-09,73350,149167
BC,127818,28614,89694,habitation,1,177167,133081,2019-02-09,73350,149167
Perdus,103554,122018,89687,distribution,1,108904,115744,2020-05-20,12765,\N
Perdus,-9,142567,89694,villa,1,28575,134666,2020-09-03,2529,\N
Perdus,-9,142567,89694,villa,1,28569,134666,2020-09-03,2529,\N
BC,-9,130411,89694,villa,1,130411,130418,2020-11-17,6500,\N
BC,147841,130410,89672,villa,5,130410,130418,2020-08-05,\N,\N
BC,-9,130411,89694,villa,1,130411,130418,2020-09-26,753,130411
